region,zone,woreda,school_name,admin_code,geometry,lat,lon
Amhara,Misrak  Gojjam,Hulet_Ej_Ene,Tekort,S0306020712,POINT (37.9873 11.0999),11.0999,37.9873
Amhara,Misrak  Gojjam,Hulet_Ej_Ene,Boda Kidanemihiret,S0306021792,POINT (37.69205 11.05947),11.05947,37.69205
Amhara,Misrak  Gojjam,Hulet_Ej_Ene,Meklit,S0306020332,POINT (37.79732 11.077843),11.077843,37.79732
Amhara,Misrak  Gojjam,Sedie,Grarema,S0306020292,POINT (37.9104 10.7492),10.7492,37.9104
Amhara,Misrak  Gojjam,Sedie,Jema,S0306025422,POINT (37.8078 10.88),10.88,37.8078
Amhara,Misrak  Gojjam,Sedie,Tif,S0306020352,POINT (37.9198 10.9023),10.9023,37.9198
Amhara,Misrak  Gojjam,Sedie,Semaylas,S0306021812,POINT (37.9055 10.7871),10.7871,37.9055
Amhara,Misrak  Gojjam,Sedie,Tadesso,S0306020802,POINT (37.904 10.8312),10.8312,37.904
Amhara,Misrak  Gojjam,Hulet_Ej_Ene,Meshegie,S0306020012,POINT (38.0231 11.1319),11.1319,38.0231
Amhara,Misrak  Gojjam,Hulet_Ej_Ene,Goder Meda,S0306020362,POINT (37.6736 11.0856),11.0856,37.6736
Amhara,Misrak  Gojjam,Sedie,Shema maram,S0306024862,POINT (37.869 10.7597),10.7597,37.869
Amhara,Misrak  Gojjam,Hulet_Ej_Ene,Wub_Kincharit,S0306020152,POINT (37.8238 11.1039),11.1039,37.8238
Amhara,Misrak  Gojjam,Hulet_Ej_Ene,Kosoye,S0306021802,POINT (37.9874 11.1),11.1,37.9874
Amhara,Misrak  Gojjam,Hulet_Ej_Ene,Tikil Dingay,S0306020122,POINT (37.8184 10.9381),10.9381,37.8184
Amhara,Misrak  Gojjam,Sedie,Gibtsawit,S0306021752,POINT (37.8328 10.8693),10.8693,37.8328
Amhara,Misrak  Gojjam,Hulet_Ej_Ene,Shemat,S0306021892,POINT (37.8702 11.1306),11.1306,37.8702
Amhara,Misrak  Gojjam,Sedie,Beti,S0306020762,POINT (37.8953 10.7935),10.7935,37.8953
