region,maxits,proposed_schools_n,starting_point,algorithm,std,ee,eei,proposed_locations,time,sigma
Tigray,,5,,Basic Benchmark,,123941,2520,"[[13.588837 39.42525 ]
 [12.417487 39.558685]
 [14.119523 37.86635 ]
 [14.387771 38.695995]
 [13.185663 39.208004]]",,
Tigray,,5,,Advanced Benchmark,,126047,4626,"[[13.588837 39.42525 ]
 [12.417487 39.558685]
 [14.119523 37.86635 ]
 [14.387771 38.695995]
 [13.185663 39.208004]]",,
Dire Dawa,,4,,Basic Benchmark,,2581,952,"[[ 9.495244 41.757687]
 [ 9.619132 41.77776 ]
 [ 9.506635 41.776947]
 [ 9.489022 41.90992 ]]",,
Dire Dawa,,4,,Advanced Benchmark,,3268,1639,"[[ 9.495244 41.757687]
 [ 9.619132 41.77776 ]
 [ 9.506635 41.776947]
 [ 9.489022 41.90992 ]]",,
Amhara,,5,,Basic Benchmark,,438817,4286,"[[11.422129 37.163406]
 [11.9658   36.4691  ]
 [ 9.87067  39.0502  ]
 [12.374763 37.55828 ]
 [10.7567   36.8163  ]]",,
Amhara,,5,,Advanced Benchmark,,441112,6581,"[[11.422129 37.163406]
 [11.9658   36.4691  ]
 [ 9.87067  39.0502  ]
 [12.374763 37.55828 ]
 [10.7567   36.8163  ]]",,
Oromia,,5,,Basic Benchmark,,628831,3583,"[[ 7.7246    39.7344   ]
 [ 7.6018977 36.72332  ]
 [ 8.134165  39.233566 ]
 [ 9.5046625 35.505024 ]
 [ 7.919395  36.050606 ]]",,
Oromia,,5,,Advanced Benchmark,,632414,7166,"[[ 7.7246    39.7344   ]
 [ 7.6018977 36.72332  ]
 [ 8.134165  39.233566 ]
 [ 9.5046625 35.505024 ]
 [ 7.919395  36.050606 ]]",,
Somali,,5,,Basic Benchmark,,19666,2868,"[[ 5.12324 41.9626 ]
 [ 7.76157 46.5243 ]
 [ 4.01546 41.8635 ]
 [ 5.18112 41.8537 ]
 [ 6.15921 44.3862 ]]",,
Somali,,5,,Advanced Benchmark,,19806,3008,"[[ 5.12324 41.9626 ]
 [ 7.76157 46.5243 ]
 [ 4.01546 41.8635 ]
 [ 5.18112 41.8537 ]
 [ 6.15921 44.3862 ]]",,
Addis Ababa,,5,,Basic Benchmark,,70976,4810,"[[ 9.067488  38.872753 ]
 [ 8.998435  38.680897 ]
 [ 8.9201355 38.734413 ]
 [ 9.017342  38.8968   ]
 [ 8.95619   38.6793   ]]",,
Addis Ababa,,5,,Advanced Benchmark,,66827,661,"[[ 9.067488  38.872753 ]
 [ 8.998435  38.680897 ]
 [ 8.9201355 38.734413 ]
 [ 9.017342  38.8968   ]
 [ 8.95619   38.6793   ]]",,
Harari,,2,,Basic Benchmark,,4656,390,"[[ 9.344575 42.21123 ]
 [ 9.347255 42.134888]]",,
Harari,,2,,Advanced Benchmark,,4510,244,"[[ 9.344575 42.21123 ]
 [ 9.347255 42.134888]]",,
SNNP,,5,,Basic Benchmark,,167098,3161,"[[ 6.960196  35.55835  ]
 [ 6.160331  38.20175  ]
 [ 7.45218   37.627132 ]
 [ 5.7848606 36.56391  ]
 [ 6.45101   38.624687 ]]",,
SNNP,,5,,Advanced Benchmark,,171016,7079,"[[ 6.960196  35.55835  ]
 [ 6.160331  38.20175  ]
 [ 7.45218   37.627132 ]
 [ 5.7848606 36.56391  ]
 [ 6.45101   38.624687 ]]",,
Benishangul Gumz,,5,,Basic Benchmark,,25854,1654,"[[10.383171 34.5916  ]
 [ 9.883625 36.08456 ]
 [ 9.653271 35.769733]
 [ 9.98266  34.5106  ]
 [10.294267 34.77314 ]]",,
Benishangul Gumz,,5,,Advanced Benchmark,,25911,1711,"[[10.383171 34.5916  ]
 [ 9.883625 36.08456 ]
 [ 9.653271 35.769733]
 [ 9.98266  34.5106  ]
 [10.294267 34.77314 ]]",,
Tigray,,10,,Basic Benchmark,,126148,4727,"[[13.588837  39.42525  ]
 [12.417487  39.558685 ]
 [14.119523  37.86635  ]
 [14.387771  38.695995 ]
 [13.185663  39.208004 ]
 [14.34064   39.032776 ]
 [13.6812725 37.35931  ]
 [12.415835  39.556423 ]
 [14.113818  38.481083 ]
 [13.204429  39.54349  ]]",,
Tigray,,10,,Advanced Benchmark,,129477,8056,"[[13.588837  39.42525  ]
 [12.417487  39.558685 ]
 [14.119523  37.86635  ]
 [14.387771  38.695995 ]
 [13.185663  39.208004 ]
 [14.34064   39.032776 ]
 [13.6812725 37.35931  ]
 [12.415835  39.556423 ]
 [14.113818  38.481083 ]
 [13.204429  39.54349  ]]",,
Amhara,,10,,Basic Benchmark,,442152,7621,"[[11.422129 37.163406]
 [11.9658   36.4691  ]
 [ 9.87067  39.0502  ]
 [12.374763 37.55828 ]
 [10.7567   36.8163  ]
 [10.682579 36.667385]
 [11.996454 36.844707]
 [12.124182 38.050747]
 [11.0588   37.7407  ]
 [11.51423  37.007458]]",,
Amhara,,10,,Advanced Benchmark,,447048,12517,"[[11.422129 37.163406]
 [11.9658   36.4691  ]
 [ 9.87067  39.0502  ]
 [12.374763 37.55828 ]
 [10.7567   36.8163  ]
 [10.682579 36.667385]
 [11.996454 36.844707]
 [12.124182 38.050747]
 [11.0588   37.7407  ]
 [11.51423  37.007458]]",,
Oromia,,10,,Basic Benchmark,,631426,6178,"[[ 7.7246    39.7344   ]
 [ 7.6018977 36.72332  ]
 [ 8.134165  39.233566 ]
 [ 9.5046625 35.505024 ]
 [ 7.919395  36.050606 ]
 [ 9.664097  37.19269  ]
 [ 8.122137  39.23213  ]
 [ 8.686192  36.289837 ]
 [ 7.68591   39.2441   ]
 [ 8.876208  40.681843 ]]",,
Oromia,,10,,Advanced Benchmark,,635020,9772,"[[ 7.7246    39.7344   ]
 [ 7.6018977 36.72332  ]
 [ 8.134165  39.233566 ]
 [ 9.5046625 35.505024 ]
 [ 7.919395  36.050606 ]
 [ 9.664097  37.19269  ]
 [ 8.122137  39.23213  ]
 [ 8.686192  36.289837 ]
 [ 7.68591   39.2441   ]
 [ 8.876208  40.681843 ]]",,
Somali,,10,,Basic Benchmark,,21111,4313,"[[ 5.12324 41.9626 ]
 [ 7.76157 46.5243 ]
 [ 4.01546 41.8635 ]
 [ 5.18112 41.8537 ]
 [ 6.15921 44.3862 ]
 [ 5.58239 44.2908 ]
 [ 6.0913  44.7655 ]
 [ 5.08663 41.8846 ]
 [ 3.99896 41.6234 ]
 [ 5.97213 41.8354 ]]",,
Somali,,10,,Advanced Benchmark,,21475,4677,"[[ 5.12324 41.9626 ]
 [ 7.76157 46.5243 ]
 [ 4.01546 41.8635 ]
 [ 5.18112 41.8537 ]
 [ 6.15921 44.3862 ]
 [ 5.58239 44.2908 ]
 [ 6.0913  44.7655 ]
 [ 5.08663 41.8846 ]
 [ 3.99896 41.6234 ]
 [ 5.97213 41.8354 ]]",,
Addis Ababa,,10,,Basic Benchmark,,72941,6775,"[[ 9.067488  38.872753 ]
 [ 8.998435  38.680897 ]
 [ 8.9201355 38.734413 ]
 [ 9.017342  38.8968   ]
 [ 8.95619   38.6793   ]
 [ 8.957857  38.787888 ]
 [ 9.016247  38.86442  ]
 [ 9.013986  38.825592 ]
 [ 8.856102  38.78767  ]
 [ 8.98115   38.852554 ]]",,
Addis Ababa,,10,,Advanced Benchmark,,66880,714,"[[ 9.067488  38.872753 ]
 [ 8.998435  38.680897 ]
 [ 8.9201355 38.734413 ]
 [ 9.017342  38.8968   ]
 [ 8.95619   38.6793   ]
 [ 8.957857  38.787888 ]
 [ 9.016247  38.86442  ]
 [ 9.013986  38.825592 ]
 [ 8.856102  38.78767  ]
 [ 8.98115   38.852554 ]]",,
SNNP,,10,,Basic Benchmark,,169351,5414,"[[ 6.960196  35.55835  ]
 [ 6.160331  38.20175  ]
 [ 7.45218   37.627132 ]
 [ 5.7848606 36.56391  ]
 [ 6.45101   38.624687 ]
 [ 5.7882047 36.568035 ]
 [ 7.449517  37.61478  ]
 [ 8.323559  38.55116  ]
 [ 6.2353415 39.008587 ]
 [ 6.2082205 38.252754 ]]",,
SNNP,,10,,Advanced Benchmark,,173802,9865,"[[ 6.960196  35.55835  ]
 [ 6.160331  38.20175  ]
 [ 7.45218   37.627132 ]
 [ 5.7848606 36.56391  ]
 [ 6.45101   38.624687 ]
 [ 5.7882047 36.568035 ]
 [ 7.449517  37.61478  ]
 [ 8.323559  38.55116  ]
 [ 6.2353415 39.008587 ]
 [ 6.2082205 38.252754 ]]",,
Benishangul Gumz,,10,,Basic Benchmark,,27051,2851,"[[10.383171 34.5916  ]
 [ 9.883625 36.08456 ]
 [ 9.653271 35.769733]
 [ 9.98266  34.5106  ]
 [10.294267 34.77314 ]
 [10.09275  34.61236 ]
 [10.004884 34.61592 ]
 [10.658    34.75774 ]
 [ 9.038019 36.23498 ]
 [ 9.711162 34.76846 ]]",,
Benishangul Gumz,,10,,Advanced Benchmark,,27419,3219,"[[10.383171 34.5916  ]
 [ 9.883625 36.08456 ]
 [ 9.653271 35.769733]
 [ 9.98266  34.5106  ]
 [10.294267 34.77314 ]
 [10.09275  34.61236 ]
 [10.004884 34.61592 ]
 [10.658    34.75774 ]
 [ 9.038019 36.23498 ]
 [ 9.711162 34.76846 ]]",,
Tigray,20000,10,0,Random Search,,127328,5907,"[[13.91726272 38.52002062]
 [14.42725062 38.97873663]
 [12.74983391 39.37180029]
 [14.21072221 36.68272668]
 [13.34520032 39.28048772]
 [13.97609491 37.82845722]
 [13.51178373 38.78241238]
 [12.42001466 39.57045547]
 [13.80958492 39.69366071]
 [14.04856584 38.80468437]]",66.5754323,
Tigray,20000,10,1,Random Search,,127054,5633,"[[13.03800033 39.5161746 ]
 [13.24208006 39.49712946]
 [13.79832996 39.6539993 ]
 [12.63856206 39.6905149 ]
 [13.56397586 37.20459974]
 [14.27112098 37.96464278]
 [14.11483688 38.70441941]
 [14.04879048 38.97206835]
 [12.45947205 39.3388921 ]
 [14.09079136 38.32016654]]",60.89337969,
Tigray,20000,10,2,Random Search,,126870,5449,"[[13.81421238 39.67894118]
 [13.77895187 37.54304566]
 [14.33582935 39.01705515]
 [13.82009204 37.99741716]
 [12.50220989 39.73636106]
 [13.24727578 39.54304182]
 [12.32853052 39.44878563]
 [14.29996767 37.76995693]
 [14.35535767 37.53418146]
 [13.35645212 38.97841038]]",68.24794269,
Tigray,20000,10,3,Random Search,,127240,5819,"[[13.8601185  37.3019884 ]
 [13.69932933 36.98724027]
 [14.01460415 37.62239063]
 [14.09380651 38.99353612]
 [13.49131169 37.1890861 ]
 [13.24245606 39.52621753]
 [14.36196871 37.76081971]
 [13.53497622 37.24039757]
 [13.38313998 39.0949737 ]
 [13.78727823 39.69043434]]",67.40037632,
Tigray,20000,10,4,Random Search,,126603,5182,"[[13.93974553 37.68727244]
 [14.23418277 39.45529546]
 [14.33283305 38.39675487]
 [14.14615714 39.59870767]
 [14.11609508 38.63581953]
 [13.88363066 37.49806666]
 [13.24861589 39.51674053]
 [13.55034768 37.0415537 ]
 [14.22284772 37.4135836 ]
 [13.80906906 39.64716621]]",67.40539145,
Tigray,20000,10,5,Random Search,,127855,6434,"[[12.40452837 39.57256066]
 [13.24727578 39.54304182]
 [13.95412634 38.55620536]
 [14.07671894 38.41691276]
 [13.86235075 37.97932294]
 [13.01036864 39.2336764 ]
 [13.96465216 38.43441337]
 [13.61647335 36.74894327]
 [14.37988303 39.17004787]
 [14.22046221 38.59466273]]",65.96171594,
Tigray,20000,10,6,Random Search,,126429,5008,"[[12.62443024 39.40482605]
 [13.78104461 39.45348429]
 [14.15675565 39.06845738]
 [13.79177974 39.6735952 ]
 [14.38813223 37.79129681]
 [13.91135404 39.0763932 ]
 [14.16769538 37.5738078 ]
 [13.55080001 37.12034328]
 [13.77111673 39.04525646]
 [13.19467723 39.57029567]]",61.39475131,
Tigray,20000,10,7,Random Search,,128459,7038,"[[13.78200616 39.47206353]
 [13.37913824 39.19611344]
 [13.66562344 38.14931766]
 [12.42001466 39.57045547]
 [14.46463816 38.98990529]
 [13.23000034 39.5081271 ]
 [12.82972368 39.37375526]
 [13.57828632 36.72716402]
 [13.42761413 39.72112634]
 [13.57164874 38.98600803]]",60.9564724,
Tigray,20000,10,8,Random Search,,127042,5621,"[[14.04125865 36.80502594]
 [13.76627414 39.46693617]
 [14.02057869 37.49988364]
 [14.32592974 39.40880407]
 [13.74311928 37.68944366]
 [13.28347479 38.74603042]
 [13.67254893 37.69239679]
 [13.82621104 39.65496172]
 [13.80915727 38.22461451]
 [13.21891348 39.51728261]]",70.48548031,
Tigray,20000,10,9,Random Search,,127091,5670,"[[13.80906906 39.64716621]
 [14.2187569  39.50354856]
 [13.24217909 39.01851174]
 [12.40452837 39.57256066]
 [14.15380499 37.9620629 ]
 [13.00688938 39.68982647]
 [14.34603761 39.58566623]
 [14.2022448  39.06992235]
 [14.33803551 39.59847468]
 [13.94453961 37.86482456]]",73.31485152,
Tigray,20000,10,10,Random Search,,127011,5590,"[[12.3552477  39.67742394]
 [13.24032603 39.48622253]
 [12.42078781 39.55131399]
 [13.50847362 38.05774239]
 [14.30937873 38.36524511]
 [14.3766336  37.21468284]
 [14.38162465 38.98637858]
 [13.71790202 38.6152316 ]
 [13.61500557 39.41886156]
 [14.00240231 36.87178486]]",77.97513866,
Tigray,20000,10,11,Random Search,,128283,6862,"[[13.55510746 38.27646716]
 [14.02896109 37.79251777]
 [13.76355326 38.17061295]
 [13.56732024 38.10469121]
 [13.59029275 39.17866748]
 [13.23501699 39.53059626]
 [13.77142351 36.72551486]
 [12.42078781 39.55131399]
 [14.56037116 37.8501463 ]
 [13.93629909 38.55571657]]",83.09887719,
Tigray,20000,10,12,Random Search,,127006,5585,"[[13.2399443  39.48662972]
 [13.85325512 38.71241039]
 [12.40135506 39.56354043]
 [14.15487934 39.30600575]
 [13.86207416 38.14010732]
 [13.42606057 39.36770545]
 [13.91800236 38.3191154 ]
 [14.02726516 38.87502741]
 [14.21889607 39.18340265]
 [13.88675282 39.61814546]]",76.82061005,
Tigray,20000,10,13,Random Search,,127048,5627,"[[14.18053568 39.44583128]
 [13.6311753  37.69704261]
 [13.902137   38.0584425 ]
 [13.49015913 39.18321624]
 [13.83489744 39.6951131 ]
 [14.47642573 38.97758506]
 [14.05272869 38.96252069]
 [13.49836589 36.87714838]
 [12.60343828 39.20287154]
 [12.40135506 39.56354043]]",77.3338201,
Tigray,20000,10,14,Random Search,,127437,6016,"[[13.90022987 36.77015797]
 [13.67154544 38.70165516]
 [13.53322144 39.42768661]
 [13.79177974 39.6735952 ]
 [13.23175524 39.51215186]
 [13.94271719 37.22465271]
 [13.97044483 37.98789164]
 [14.24735826 37.84710768]
 [13.53120826 39.5783938 ]
 [14.24007406 36.9447145 ]]",75.18108797,
Tigray,20000,10,15,Random Search,,126724,5303,"[[13.39271274 38.99300304]
 [12.84371887 39.65666822]
 [13.68167653 38.17637581]
 [14.00155693 37.75049914]
 [13.23501699 39.53059626]
 [12.67549853 39.77567217]
 [14.09294753 38.22673227]
 [13.65639586 38.12935516]
 [12.76265786 39.34308272]
 [13.77470539 38.6188829 ]]",79.80969214,
Tigray,20000,10,16,Random Search,,127147,5726,"[[13.86691935 38.95452792]
 [14.14585439 38.01854183]
 [13.24245606 39.52621753]
 [13.660332   38.77313443]
 [13.55460404 38.74758465]
 [14.31913215 39.39805154]
 [12.56468295 39.6000328 ]
 [13.85147469 38.19366313]
 [12.57191038 39.80836487]
 [12.43679945 39.54957137]]",73.03905797,
Tigray,20000,10,17,Random Search,,128017,6596,"[[13.5894815  38.86701035]
 [13.79177974 39.6735952 ]
 [12.99179586 39.21695391]
 [14.21537617 37.19029695]
 [13.78963468 39.45679225]
 [14.10813593 37.59596669]
 [13.23907264 39.54518727]
 [13.75593839 36.93592525]
 [13.56907456 38.50227947]
 [14.24609853 38.3875529 ]]",74.16574264,
Tigray,20000,10,18,Random Search,,126808,5387,"[[13.74380956 38.06631538]
 [13.80577228 39.68651577]
 [14.49990625 39.04476215]
 [12.76191958 39.62704283]
 [14.41002018 37.75428221]
 [14.32255555 39.23165004]
 [13.59453798 39.39406777]
 [13.5132338  37.2634822 ]
 [13.23385895 39.49281186]
 [14.19169523 38.04770381]]",69.73394251,
Tigray,20000,10,19,Random Search,,127487,6066,"[[12.42001466 39.57045547]
 [13.28822431 39.26924061]
 [14.56684446 38.185125  ]
 [13.41697812 39.41562721]
 [13.72556141 37.65567718]
 [13.56846688 38.06933682]
 [13.2456907  39.48969342]
 [13.88852408 39.49536011]
 [13.75150269 39.28253322]
 [13.5167113  36.97346701]]",77.11715293,
Tigray,20000,10,20,Random Search,,126695,5274,"[[14.58412577 39.58643655]
 [14.11675522 39.16370031]
 [13.21891348 39.51728261]
 [14.02777532 38.36208874]
 [12.4070431  39.69741235]
 [13.33998649 39.25653105]
 [13.22273554 38.88261897]
 [13.99066852 39.16314711]
 [14.13194465 39.64356322]
 [13.85928074 38.65280468]]",86.12273145,
Tigray,20000,10,21,Random Search,,127270,5849,"[[13.88864997 37.34991327]
 [12.96280331 39.30707913]
 [14.18791479 39.39639528]
 [12.99433298 39.36712096]
 [13.79064029 36.82453157]
 [12.41563379 39.53336252]
 [13.23075062 39.4967358 ]
 [14.50688791 39.19036297]
 [12.37790595 39.27349145]
 [13.49125758 39.68902769]]",72.70044184,
Tigray,20000,10,22,Random Search,,128354,6933,"[[12.55952895 39.39089285]
 [13.76030002 37.72153472]
 [13.78709143 38.25205829]
 [13.40604061 37.5765058 ]
 [13.27155099 39.25519283]
 [13.59059184 39.28212896]
 [13.21891348 39.51728261]
 [13.55439954 36.88732437]
 [13.16933725 39.80902202]
 [12.42001466 39.57045547]]",62.30239868,
Tigray,20000,10,23,Random Search,,127312,5891,"[[13.40525006 37.40114065]
 [12.60669857 39.41911668]
 [13.93985898 37.52582856]
 [13.80577228 39.68651577]
 [13.23501699 39.53059626]
 [13.06261044 39.73715215]
 [13.17893997 39.45549951]
 [14.0792685  37.78159387]
 [13.17509874 39.72963147]
 [13.70348749 39.01696984]]",70.91668773,
Tigray,20000,10,24,Random Search,,126524,5103,"[[13.23501699 39.53059626]
 [13.79558547 36.67769594]
 [14.39249914 38.97431543]
 [14.23099525 37.22685088]
 [12.43541462 39.76300878]
 [14.07411774 38.48902993]
 [14.06651656 38.62258402]
 [13.27617765 38.92541359]
 [13.88625361 39.61057896]
 [12.76720949 39.49885398]]",74.98917246,
Tigray,20000,10,25,Random Search,,126429,5008,"[[14.11079208 37.53497718]
 [13.79174985 38.67031053]
 [14.04513638 38.51144672]
 [13.21891348 39.51728261]
 [13.82947463 38.56698433]
 [13.75638149 39.06421051]
 [13.06261044 39.73715215]
 [13.37429483 37.21391142]
 [13.87597843 38.8985607 ]
 [13.16570242 39.28983993]]",75.01891971,
Tigray,20000,10,26,Random Search,,126210,4789,"[[13.49607372 37.15548896]
 [13.81198736 38.62440256]
 [14.40983872 37.63595857]
 [14.0917412  38.18380538]
 [13.68277498 38.9364768 ]
 [12.99937347 39.2433607 ]
 [14.33603373 38.70601208]
 [14.06500481 39.38184313]
 [13.20489742 39.1541741 ]
 [13.23175524 39.51215186]]",85.8820796,
Tigray,20000,10,27,Random Search,,128369,6948,"[[13.23000034 39.5081271 ]
 [12.34725501 39.32589956]
 [14.49840014 39.45346238]
 [14.07515914 38.4146033 ]
 [13.16123726 39.29078985]
 [14.58412577 39.58643655]
 [14.26987832 37.19251836]
 [14.16719379 38.17575189]
 [13.79177974 39.6735952 ]
 [14.25182175 38.66637959]]",99.76078153,
Tigray,20000,10,28,Random Search,,127681,6260,"[[12.31023274 39.61648635]
 [13.7887947  37.11997998]
 [14.24585965 38.10159046]
 [13.23975449 39.18090311]
 [13.21891348 39.51728261]
 [13.25656781 39.56711081]
 [14.4305707  37.40267942]
 [13.88859718 37.50743577]
 [12.42078781 39.55131399]
 [14.36785954 37.82248125]]",81.07104826,
Tigray,20000,10,29,Random Search,,127195,5774,"[[13.74388753 37.21772922]
 [13.23175524 39.51215186]
 [14.07861091 37.25882109]
 [14.18176191 38.50176839]
 [12.41373275 39.55943921]
 [14.31234398 38.0263845 ]
 [13.5287683  37.63034982]
 [14.29174391 37.89688064]
 [14.05495437 39.41058471]
 [14.13628992 39.81119867]]",77.15255547,
Tigray,20000,5,0,Random Search,,125908,4487,"[[14.13529261 38.62961014]
 [12.93449526 39.35405249]
 [13.5410352  37.04885657]
 [13.23501699 39.53059626]
 [14.06522699 39.54699421]]",69.98271751,
Tigray,20000,5,1,Random Search,,125955,4534,"[[13.61339969 39.37433428]
 [14.13951572 39.09936228]
 [13.21891348 39.51728261]
 [14.06497777 38.95150083]
 [14.13936236 39.44287707]]",64.56561542,
Tigray,20000,5,2,Random Search,,125718,4297,"[[12.99780764 39.51084585]
 [13.63670058 37.24958709]
 [13.21891348 39.51728261]
 [14.18529185 37.15711587]
 [13.69232967 38.92796615]]",61.31513286,
Tigray,20000,5,3,Random Search,,125424,4003,"[[14.34533057 37.31625116]
 [12.35416878 39.68088911]
 [13.21891348 39.51728261]
 [14.13240658 38.98992209]
 [14.65472725 39.57361769]]",63.37586665,
Tigray,20000,5,4,Random Search,,125281,3860,"[[13.21891348 39.51728261]
 [12.84210269 39.68838247]
 [13.73404923 37.40392374]
 [13.91354699 38.64300341]
 [13.36144374 37.37304889]]",59.40050673,
