level_0,index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
109,,39,CMA,457390,22766,"[[12.14182532 38.04714006]
 [11.37567772 39.74680189]
 [11.96692023 37.7438942 ]
 [11.81638517 37.60852248]
 [11.06896034 36.88939777]
 [13.11271622 35.60855428]
 [ 9.63422438 40.12876828]
 [10.63935532 38.47731192]
 [12.39094453 37.55025782]
 [12.01410014 35.69939042]]",858.5913577,0.24
39,,9,CMA,457390,22766,"[[12.14182532 38.04714006]
 [11.37567772 39.74680189]
 [11.96692023 37.7438942 ]
 [11.81638517 37.60852248]
 [11.06896034 36.88939777]
 [13.11271622 35.60855428]
 [ 9.63422438 40.12876828]
 [10.63935532 38.47731192]
 [12.39094453 37.55025782]
 [12.01410014 35.69939042]]",819.2020071,0.24
99,,29,CMA,457390,22766,"[[12.14182532 38.04714006]
 [11.37567772 39.74680189]
 [11.96692023 37.7438942 ]
 [11.81638517 37.60852248]
 [11.06896034 36.88939777]
 [13.11271622 35.60855428]
 [ 9.63422438 40.12876828]
 [10.63935532 38.47731192]
 [12.39094453 37.55025782]
 [12.01410014 35.69939042]]",888.971946,0.24
89,,19,CMA,457390,22766,"[[12.14182532 38.04714006]
 [11.37567772 39.74680189]
 [11.96692023 37.7438942 ]
 [11.81638517 37.60852248]
 [11.06896034 36.88939777]
 [13.11271622 35.60855428]
 [ 9.63422438 40.12876828]
 [10.63935532 38.47731192]
 [12.39094453 37.55025782]
 [12.01410014 35.69939042]]",791.2363474,0.24
79,,9,CMA,457390,22766,"[[12.14182532 38.04714006]
 [11.37567772 39.74680189]
 [11.96692023 37.7438942 ]
 [11.81638517 37.60852248]
 [11.06896034 36.88939777]
 [13.11271622 35.60855428]
 [ 9.63422438 40.12876828]
 [10.63935532 38.47731192]
 [12.39094453 37.55025782]
 [12.01410014 35.69939042]]",819.2020071,0.24
69,,39,CMA,457390,22766,"[[12.14182532 38.04714006]
 [11.37567772 39.74680189]
 [11.96692023 37.7438942 ]
 [11.81638517 37.60852248]
 [11.06896034 36.88939777]
 [13.11271622 35.60855428]
 [ 9.63422438 40.12876828]
 [10.63935532 38.47731192]
 [12.39094453 37.55025782]
 [12.01410014 35.69939042]]",858.5913577,0.24
59,,29,CMA,457390,22766,"[[12.14182532 38.04714006]
 [11.37567772 39.74680189]
 [11.96692023 37.7438942 ]
 [11.81638517 37.60852248]
 [11.06896034 36.88939777]
 [13.11271622 35.60855428]
 [ 9.63422438 40.12876828]
 [10.63935532 38.47731192]
 [12.39094453 37.55025782]
 [12.01410014 35.69939042]]",888.971946,0.24
49,,19,CMA,457390,22766,"[[12.14182532 38.04714006]
 [11.37567772 39.74680189]
 [11.96692023 37.7438942 ]
 [11.81638517 37.60852248]
 [11.06896034 36.88939777]
 [13.11271622 35.60855428]
 [ 9.63422438 40.12876828]
 [10.63935532 38.47731192]
 [12.39094453 37.55025782]
 [12.01410014 35.69939042]]",791.2363474,0.24
0,16,11,CMA,454450,19826,"[[11.68786287 38.79652334]
 [13.74147331 36.20282037]
 [11.73587098 39.53568121]
 [11.41335257 37.14738404]
 [12.88278869 39.46706809]
 [10.75594909 36.80700591]
 [11.81639766 37.60851841]
 [11.18396406 39.93106406]
 [10.77025189 38.91359512]
 [12.13570848 35.68874339]]",272.1759365,0.1
1,11,6,CMA,453047,18423,"[[ 9.51537704 39.62299826]
 [13.75471711 37.37301918]
 [11.06885282 36.88935947]
 [10.47844868 37.73085415]
 [10.51207449 39.85639692]
 [ 9.41541499 36.59889291]
 [11.17319478 37.42990753]
 [12.39049122 37.54942558]
 [13.11364048 38.42437228]
 [10.75589249 36.80751447]]",309.4191365,0.1
34,,4,CMA,452213,17589,"[[11.53219977 37.0082911 ]
 [10.4814443  37.72939955]
 [10.1512149  38.15051968]
 [11.77023577 38.27229976]
 [12.80772227 39.78074165]
 [10.47556037 37.0366335 ]
 [10.39440075 39.84378508]
 [13.20355536 39.70072864]
 [11.06946056 36.89885709]
 [13.36192875 37.94035795]]",874.8511398,0.24
74,,4,CMA,452213,17589,"[[11.53219977 37.0082911 ]
 [10.4814443  37.72939955]
 [10.1512149  38.15051968]
 [11.77023577 38.27229976]
 [12.80772227 39.78074165]
 [10.47556037 37.0366335 ]
 [10.39440075 39.84378508]
 [13.20355536 39.70072864]
 [11.06946056 36.89885709]
 [13.36192875 37.94035795]]",874.8511398,0.24
2,29,24,CMA,451858,17234,"[[ 9.87441834 39.04856962]
 [10.59012608 37.08984847]
 [11.3383526  37.43787681]
 [10.43230342 38.98144167]
 [ 8.71510935 36.02094998]
 [11.17176055 37.43008523]
 [10.77234025 35.26337127]
 [10.76578689 37.07156842]
 [11.80406225 38.22585137]
 [10.33575822 39.95143155]]",778.2438469,0.24
3,24,19,CMA,451858,17234,"[[ 9.87441834 39.04856962]
 [10.59012608 37.08984847]
 [11.3383526  37.43787681]
 [10.43230342 38.98144167]
 [ 8.71510935 36.02094998]
 [11.17176055 37.43008523]
 [10.77234025 35.26337127]
 [10.76578689 37.07156842]
 [11.80406225 38.22585137]
 [10.33575822 39.95143155]]",778.919277,0.24
68,,38,CMA,451531,16907,"[[10.86714474 39.74554041]
 [11.41336136 37.14738048]
 [12.69039308 37.68787487]
 [13.69259069 36.52627784]
 [11.81614815 37.6086692 ]
 [13.09674597 36.23918795]
 [10.92273199 35.84851092]
 [ 8.71695711 36.27964534]
 [ 9.99008183 38.98019861]
 [ 9.52459243 39.70024214]]",645.9467793,0.2
108,,38,CMA,451531,16907,"[[10.86714474 39.74554041]
 [11.41336136 37.14738048]
 [12.69039308 37.68787487]
 [13.69259069 36.52627784]
 [11.81614815 37.6086692 ]
 [13.09674597 36.23918795]
 [10.92273199 35.84851092]
 [ 8.71695711 36.27964534]
 [ 9.99008183 38.98019861]
 [ 9.52459243 39.70024214]]",645.9467793,0.2
98,,28,CMA,451531,16907,"[[10.86714474 39.74554041]
 [11.41336136 37.14738048]
 [12.69039308 37.68787487]
 [13.69259069 36.52627784]
 [11.81614815 37.6086692 ]
 [13.09674597 36.23918795]
 [10.92273199 35.84851092]
 [ 8.71695711 36.27964534]
 [ 9.99008183 38.98019861]
 [ 9.52459243 39.70024214]]",675.7912974,0.2
88,,18,CMA,451531,16907,"[[10.86714474 39.74554041]
 [11.41336136 37.14738048]
 [12.69039308 37.68787487]
 [13.69259069 36.52627784]
 [11.81614815 37.6086692 ]
 [13.09674597 36.23918795]
 [10.92273199 35.84851092]
 [ 8.71695711 36.27964534]
 [ 9.99008183 38.98019861]
 [ 9.52459243 39.70024214]]",597.8498659,0.2
