index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
58,28,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",198.4762888,0.22
78,48,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",195.2985778,0.22
188,158,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",196.5793996,0.22
238,208,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",198.3134391,0.22
138,108,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",195.12977,0.22
98,68,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",196.1249917,0.22
228,198,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",195.5924964,0.22
248,218,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",196.2155149,0.22
158,128,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",195.4801948,0.22
178,148,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",198.4079721,0.22
258,228,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",196.7333188,0.22
128,98,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",198.1216295,0.22
218,188,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",196.4407444,0.22
48,18,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",193.5219603,0.22
108,78,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",194.4651821,0.22
88,58,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",194.9945977,0.22
148,118,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",194.8896813,0.22
118,88,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",199.889091,0.22
288,258,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",196.5200362,0.22
198,168,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",195.8818531,0.22
208,178,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",195.8700559,0.22
268,238,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",195.9652557,0.22
68,38,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",195.9740734,0.22
278,248,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",202.6423898,0.22
168,138,CMA,439845,5221,"[[12.31926458,37.22420972]
,[10.85991884,38.36158859]
,[10.75589316,36.80513872]
,[11.9716925,36.47579004]
,[10.38705765,39.84108199]]",195.4582479,0.22
222,192,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.16222811,0.1
142,112,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.47703338,0.1
52,22,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",42.89800406,0.1
192,162,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.11732125,0.1
212,182,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.86761355,0.1
92,62,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.10226274,0.1
62,32,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.32829523,0.1
202,172,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.49402404,0.1
232,202,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",45.2214663,0.1
42,12,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",42.45365024,0.1
