,index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
0,75,75,CMA,168233.0,5535.0,"[[ 6.59169244 38.76333777]
 [ 6.15070486 38.20195298]
 [ 6.52970052 38.70578676]
 [ 6.71609594 37.75921462]
 [ 6.63443737 38.85477472]]",172.43407797813416,2.25
1,56,56,CMA,167781.0,5083.0,"[[ 6.89435786 37.604856  ]
 [ 7.00239893 37.7846155 ]
 [ 6.15155528 38.201071  ]
 [ 6.81703797 38.38335206]
 [ 6.99604017 37.64297987]]",39.792622327804565,1.5
2,24,24,CMA,167667.0,4969.0,"[[ 6.06546891 34.85388028]
 [ 7.64227963 37.9749664 ]
 [ 6.59164648 38.76333191]
 [ 6.99603066 37.64383902]
 [ 6.1536639  38.1991043 ]]",65.08733248710632,1.5
3,31,31,CMA,167452.0,4754.0,"[[ 6.46845889 38.80863575]
 [ 6.5915537  38.76356047]
 [ 6.54369475 38.67261058]
 [ 7.02365638 38.29783273]
 [ 6.25228487 38.94923027]]",449.9259579181671,3.25
4,65,65,CMA,167258.0,4560.0,"[[ 6.59166475 38.76329505]
 [ 6.24040336 39.02598098]
 [ 6.15073129 38.20188589]
 [ 8.32680438 37.56820678]
 [ 8.43503522 36.14545205]]",75.12985801696777,1.75
5,26,26,CMA,167088.0,4390.0,"[[ 6.52957334 38.70629349]
 [ 8.02056653 38.52048622]
 [ 6.8829846  38.32709284]
 [ 7.39295071 37.75238025]
 [ 6.46764946 38.80778493]]",173.24239373207092,2.0
6,1,1,CMA,167083.0,4385.0,"[[ 6.53431989 38.70596401]
 [ 6.8708216  38.46167985]
 [ 6.59150672 38.76360262]
 [ 6.58021006 38.96444615]
 [ 6.4974062  39.05317126]]",85.79141902923584,1.75
7,62,62,CMA,167067.0,4369.0,"[[ 6.59162994 38.76352326]
 [ 7.40642886 38.0476987 ]
 [ 6.56528015 38.84579525]
 [ 4.43385059 36.48087111]
 [ 6.97315464 35.57090131]]",306.8410346508026,3.0
8,38,38,CMA,166976.0,4278.0,"[[ 7.43852836 37.61530853]
 [ 4.61913876 37.30471734]
 [ 6.99611597 37.64286759]
 [ 6.77414292 37.86171615]
 [ 6.22140119 38.99720716]]",342.10480999946594,3.0
9,4,4,CMA,166755.0,4057.0,"[[ 7.75717955 37.65691795]
 [ 6.9957975  37.64333513]
 [ 6.63062961 38.73629857]
 [ 6.56509598 38.7715241 ]
 [ 7.40586087 38.04741155]]",242.91052985191345,2.5
10,77,77,CMA,166675.0,3977.0,"[[ 8.32744051 37.56842994]
 [ 8.31288982 38.53673482]
 [ 6.99625367 37.64282218]
 [ 7.43854839 37.61532347]
 [ 4.49384074 35.49555558]]",261.3274955749512,2.75
11,63,63,CMA,166668.0,3970.0,"[[ 6.47452113 38.4219445 ]
 [ 5.78563944 38.9712768 ]
 [ 6.15068943 38.20191563]
 [ 6.07175229 39.00890622]
 [ 6.59163063 38.76370379]]",371.9337520599365,3.25
12,21,21,CMA,166649.0,3951.0,"[[ 8.28075835 38.96684673]
 [ 8.08787289 36.18164133]
 [ 6.15136093 38.20116391]
 [ 6.58020992 38.96438053]
 [ 6.59162584 38.76358076]]",268.35908818244934,2.75
13,16,16,CMA,166646.0,3948.0,"[[ 7.8996984  34.94316693]
 [ 7.43851965 37.61534291]
 [ 6.71845209 35.25381722]
 [ 6.97310483 35.57098756]
 [ 8.38530619 38.58843841]]",26.27135443687439,1.5
14,45,45,CMA,166645.0,3947.0,"[[ 6.46587213 38.84843616]
 [ 6.52942634 38.70612351]
 [ 7.14853634 37.64445805]
 [ 8.45439667 34.86055215]
 [ 6.59157043 38.76358584]]",323.1403651237488,2.75
15,61,61,CMA,166636.0,3938.0,"[[ 6.8183937  38.38215913]
 [ 6.53342941 38.70493293]
 [ 4.75695256 37.08772731]
 [ 8.41158903 38.60330909]
 [ 6.59176365 38.76364651]]",256.696320772171,2.75
16,58,58,CMA,166619.0,3921.0,"[[ 7.02697637 37.97114919]
 [ 7.40217519 36.22315383]
 [ 8.41156143 38.60333274]
 [ 6.59164667 38.76352934]
 [ 6.7239992  37.60426586]]",128.72986364364624,2.0
17,73,73,CMA,166604.0,3906.0,"[[ 7.9759815  38.69424869]
 [ 6.5917756  38.76379407]
 [ 6.25206257 38.94936456]
 [ 7.02231027 37.84463758]
 [ 6.99660786 37.64239063]]",83.41655993461609,1.75
18,23,23,CMA,166602.0,3904.0,"[[ 7.08133467 37.77376062]
 [ 6.98842115 36.62028226]
 [ 6.5916384  38.76370803]
 [ 6.05994557 35.57778639]
 [ 6.15103497 38.20148013]]",375.7698028087616,3.25
19,5,5,CMA,166590.0,3892.0,"[[ 6.46011485 38.6401749 ]
 [ 6.59150964 38.763611  ]
 [ 6.49649624 39.05345022]
 [ 5.1252878  34.8534777 ]
 [ 6.46858735 38.80828174]]",293.39344573020935,2.75
20,15,15,CMA,166575.0,3877.0,"[[ 6.99603568 37.64305161]
 [ 6.59164509 38.76353108]
 [ 5.40880988 37.08028661]
 [ 6.97289904 35.5710895 ]
 [ 5.2089078  38.83363609]]",435.6439781188965,3.25
21,74,74,CMA,166509.0,3811.0,"[[ 6.58519437 38.62492517]
 [ 6.16424387 38.21869523]
 [ 5.3644849  36.64011579]
 [ 6.59618567 38.74160513]
 [ 6.56787444 38.86238881]]",125.16691279411316,2.0
22,54,54,CMA,166503.0,3805.0,"[[ 7.02087444 37.84637564]
 [ 6.54415923 38.67289031]
 [ 6.5915544  38.76358632]
 [ 4.43510995 38.37361201]
 [ 6.66546588 38.55831163]]",301.8316569328308,3.0
23,13,13,CMA,166501.0,3803.0,"[[ 8.1613923  35.82890646]
 [ 6.5917656  38.76364198]
 [ 7.4385042  37.61533926]
 [ 6.47450396 38.42268324]
 [ 6.91115035 35.94996389]]",325.51646304130554,2.75
