,index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
0,4,1,CMA,440114.0,5490.0,"[[13.05054867 35.65369702]
 [10.51205415 39.85634571]
 [11.8176429  37.61009306]
 [10.77524913 36.96158041]
 [10.75577574 36.80522114]]",117.01732206344604,1.3
1,7,4,CMA,439975.0,5351.0,"[[11.46225432 39.60292525]
 [10.88553258 39.59329026]
 [10.49906849 39.85534934]
 [11.80432472 38.2258755 ]
 [11.81764291 37.61009305]]",71.88147449493408,1
2,3,0,CMA,439898.0,5274.0,"[[11.81764287 37.61009307]
 [10.74127033 39.68558169]
 [10.9033724  38.25027729]
 [11.41258679 37.14785166]
 [11.29787545 39.78879417]]",54.54267168045044,1
3,11,8,CMA,439825.0,5201.0,"[[11.81764287 37.61009307]
 [ 9.65452492 39.44468308]
 [10.99027341 39.84076982]
 [11.17545479 37.42985115]
 [11.26951154 37.30625769]]",50.426342248916626,1
4,12,9,CMA,439383.0,4759.0,"[[10.95112072 37.80576159]
 [11.73561501 37.61671316]
 [10.06214677 38.98293832]
 [11.81764293 37.61009304]
 [11.38171118 37.02779204]]",119.17836809158325,1.3
5,6,3,CMA,439088.0,4464.0,"[[12.73422499 35.29506496]
 [11.29142413 39.62713313]
 [ 9.99154505 39.78534598]
 [11.41258681 37.14785164]
 [11.80432479 38.22587551]]",214.70255303382874,1.8
6,10,7,CMA,438880.0,4256.0,"[[11.41258677 37.14785167]
 [11.43521393 35.31810506]
 [11.96655905 37.74368527]
 [12.39269803 37.1651588 ]
 [10.8331992  35.60149299]]",250.75051712989807,1.8
7,8,5,CMA,438714.0,4090.0,"[[11.50926139 39.78913231]
 [11.95585124 39.42976816]
 [10.70802662 39.43644223]
 [10.73929357 36.98989829]
 [10.73235539 37.59238254]]",137.17723321914673,1.3
8,13,10,CMA,438698.0,4074.0,"[[11.14250754 36.97760753]
 [10.46133551 39.4677691 ]
 [10.76990322 36.80430547]
 [10.18713455 39.71601539]
 [11.42542242 37.1364722 ]]",167.83054327964783,1.5
9,14,11,CMA,438606.0,3982.0,"[[11.8176429  37.61009306]
 [10.39564195 40.00115132]
 [11.89937962 40.21227583]
 [10.97144078 39.6354433 ]
 [11.0726944  39.49383773]]",220.9085054397583,1.8
10,9,6,CMA,438408.0,3784.0,"[[10.75577574 36.80522113]
 [10.52473444 39.53552264]
 [12.18651874 39.39965254]
 [10.34972654 39.97356864]
 [11.55292016 39.46880096]]",198.9917974472046,1.5
11,1,1,Random Search,438303.0,3679.0,"[[10.64988931 39.79454502]
 [10.72931927 36.83488479]
 [13.49686868 38.47766754]
 [11.21384668 39.47989203]
 [12.14405417 38.04541339]]",90.67400026321411,NA
12,0,0,Random Search,437973.0,3349.0,"[[ 9.14870949 39.42383098]
 [12.11374542 38.0535557 ]
 [10.78601651 37.34172341]
 [10.65396866 40.0488358 ]
 [ 9.79815525 39.88596148]]",92.48279881477356,NA
13,2,2,Random Search,437861.0,3237.0,"[[12.14405417 38.04541339]
 [12.80364847 37.73543061]
 [ 9.66124332 39.67802336]
 [13.08774763 38.33326824]
 [11.41562178 39.40466021]]",91.14289402961731,NA
14,5,2,CMA,437339.0,2715.0,"[[12.11125812 38.04615959]
 [10.18281254 40.19223809]
 [10.68671087 38.43775247]
 [11.16580845 39.02139506]
 [10.63074736 39.32585018]]",157.87732124328613,1.5
